50	2	5	7
60	3	10	10
70	3	9	10
80	1	10	8
90	3	8	10
100	2	8	8
110	3	7	10
120	2	7	8
130	4	7	11
140	4	7	9
150	3	5	8
160	2	8	9
170	2	8	9
180	4	7	10
190	3	7	8
200	3	8	11
210	2	6	7
220	3	8	11
230	3	10	12
240	2	6	8
250	5	7	12
260	2	6	8
270	4	5	9
280	4	6	9
290	3	6	9
300	2	7	9
310	1	7	8
320	3	7	10
330	5	7	11
340	3	10	13
350	4	7	11
360	3	6	9
370	4	5	9
380	5	5	10
390	4	10	13
400	2	7	9
410	4	8	11
420	4	7	10
430	1	8	9
440	2	6	8
450	2	6	7
460	1	6	7
470	2	6	8
480	4	5	9
490	4	6	10
500	5	6	10
510	2	9	10
520	3	6	9
530	4	6	9
540	3	6	8
550	2	8	10
560	4	7	11
570	3	8	11
580	2	6	8
590	3	8	11
600	4	5	9
610	3	7	9
620	4	6	10
630	4	8	12
640	4	4	8
650	3	8	11
660	2	6	8
670	3	6	8
680	3	7	10
690	3	6	9
700	2	8	10
710	3	7	10
720	2	6	8
