0	0	29	31	59	16406	16437
11	0.1	31	28	59	16406	16434
23	0.2	35	24	59	16406	16430
35	0.3	33	26	59	16406	16432
47	0.4	39	20	59	16406	16426
59	0.5	41	19	59	16406	16425
70	0.6	43	17	59	16406	16423
82	0.7	47	13	59	16406	16419
94	0.8	49	10	59	16406	16416
106	0.9	54	5	59	16406	16411
118	1	59	0	59	16406	16406
