60	877
62	288
64	417
66	430
68	640
70	588
72	628
74	672
76	1056
78	807
80	1319
82	984
84	1172
86	1675
88	2012
90	1624
92	2034
94	1784
96	2396
98	2062
100	2977
102	2375
104	2769
106	3114
108	2555
110	2679
112	2357
114	3014
116	3617
118	4291
120	3507
122	4079
124	4381
126	4335
128	5370
130	5011
132	5165
134	5062
136	6738
138	6035
140	6130
142	5441
144	7544
146	6528
148	8152
150	6842
152	6396
154	7533
156	10250
158	9631
160	9599
162	9668
164	11818
166	10719
168	13495
170	14479
172	13059
174	10113
176	13155
178	13197
180	15266
182	13314
184	15418
186	16811
188	16379
190	15475
192	17921
194	18261
196	17932
198	23004
200	16007
202	26795
204	24463
206	20671
208	25757
210	24372
212	27557
214	29726
216	25668
218	35597
220	30407
222	31837
224	31067
226	33694
228	31015
230	31341
232	40854
234	37712
236	38417
238	37321
240	37698
242	35179
244	40209
246	43055
248	39194
250	43562
252	45885
254	46723
256	45997
258	50603
260	44211
262	50560
264	54974
266	49598
268	60125
270	53616
272	58108
274	62117
276	58421
278	55686
280	69111
282	66384
284	63988
286	67967
288	79323
290	61392
292	80013
294	77320
296	81091
298	78169
300	84734
302	86143
304	87592
306	83884
308	84393
310	100550
312	98152
314	109872
316	100098
318	101076
320	101434
322	100543
324	100925
326	120633
328	102788
330	115095
332	104260
334	117679
336	122984
338	117359
340	115425
342	118100
344	123035
346	123457
348	125228
350	135660
352	129653
354	139576
356	140319
358	147369
360	143201
362	145622
364	160037
366	168162
368	156165
370	170932
372	167813
374	147956
376	164600
378	159734
380	166217
382	188390
384	180515
386	186590
388	170561
390	188360
392	186910
394	206274
396	202582
398	223522
400	226582
402	207298
404	221263
406	225036
408	244343
410	236242
412	214099
414	244771
416	224240
418	245816
420	241651
422	252997
424	285401
426	277316
428	249734
430	274028
432	276065
434	246021
436	302229
438	270162
440	290803
442	266786
444	253549
446	293025
448	327454
450	314827
452	281466
454	318360
456	287657
458	302393
460	296227
462	329691
464	343753
466	317326
468	356849
470	298984
472	355824
474	360469
476	359013
478	357949
480	365827
482	344985
484	387342
486	389840
488	391817
490	371687
492	405088
494	388631
496	394974
498	413438
500	442358
502	432018
504	427401
506	425895
508	468526
510	513835
512	493129
