20	3	3	6	100	103
22	4	3	7	116	119
24	2	5	7	146	151
26	3	4	7	156	160
28	2	6	7	192	198
30	4	4	8	218	222
32	3	4	7	255	259
34	2	4	6	288	292
36	3	7	9	310	317
38	2	5	7	350	355
40	3	6	9	395	401
42	3	9	12	431	440
44	3	6	9	507	513
46	4	10	14	504	514
48	4	9	13	575	584
50	3	12	14	617	629
52	3	10	13	675	685
54	3	12	15	724	736
56	4	10	14	788	798
58	2	13	14	859	872
60	4	14	18	872	886
62	2	12	14	929	941
64	3	12	15	1013	1025
66	1	14	15	1074	1088
68	3	13	16	1172	1185
70	5	12	17	1201	1213
72	3	11	14	1279	1290
74	3	17	20	1365	1382
76	2	18	20	1425	1443
78	3	15	18	1500	1515
80	2	15	17	1576	1591
82	5	16	20	1676	1692
84	2	20	22	1728	1748
86	2	18	20	1829	1847
88	2	19	21	1912	1931
90	3	21	23	2023	2044
92	3	20	22	2067	2087
94	2	23	25	2144	2167
96	4	24	27	2320	2344
98	2	26	28	2404	2430
100	4	23	27	2480	2503
102	4	21	25	2621	2642
104	4	23	26	2710	2733
106	4	26	29	2778	2804
108	3	21	24	2876	2897
110	3	26	29	2951	2977
112	3	24	27	3192	3216
114	2	21	23	3260	3281
116	2	27	28	3429	3456
118	3	27	29	3496	3523
120	3	29	31	3618	3647
122	3	30	32	3714	3744
124	2	32	34	3830	3862
126	4	33	37	3898	3931
128	2	29	31	4121	4150
130	3	27	30	4148	4175
132	3	33	36	4329	4362
134	4	28	31	4469	4497
136	2	29	30	4644	4673
138	3	37	40	4695	4732
140	4	31	34	4876	4907
142	3	33	36	4984	5017
144	3	32	34	5186	5218
146	2	33	35	5304	5337
148	3	31	33	5391	5422
150	2	31	33	5526	5557
