6	1	0	1	0
33	8	6	11	0
60	1	0	1	0
87	23	12	29	0
114	1	0	1	0
141	37	20	47	0
168	1	0	1	0
195	52	26	65	0
222	1	0	1	0
249	66	34	83	0
276	1	0	1	0
303	80	42	101	0
330	1	0	1	0
357	95	48	119	0
384	1	0	1	0
411	109	56	137	0
438	1	0	1	0
465	124	62	155	0
492	1	0	1	0
519	138	70	173	0
546	1	0	1	0
573	152	78	191	0
600	1	0	1	0
627	167	84	209	0
654	1	0	1	0
681	181	92	227	0
708	1	0	1	0
735	196	98	245	0
762	1	0	1	0
789	210	106	263	0
816	1	0	1	0
843	224	114	281	0
870	1	0	1	0
897	239	120	299	0
924	1	0	1	0
951	253	128	317	0
978	1	0	1	0
1005	268	134	335	0
1032	1	0	1	0
1059	282	142	353	0
1086	1	0	1	0
1113	296	150	371	0
1140	1	0	1	0
1167	311	156	389	0
