6	1	0	1	0
33	5	12	11	0
60	1	0	1	0
87	14	30	29	0
114	1	0	1	0
141	23	48	47	0
168	1	0	1	0
195	32	66	65	0
222	1	0	1	0
249	41	84	83	0
276	1	0	1	0
303	50	102	101	0
330	1	0	1	0
357	59	120	119	0
384	1	0	1	0
411	68	138	137	0
438	1	0	1	0
465	77	156	155	0
492	1	0	1	0
519	86	174	173	0
546	1	0	1	0
573	95	192	191	0
600	1	0	1	0
627	104	210	209	0
654	1	0	1	0
681	113	228	227	0
708	1	0	1	0
735	122	246	245	0
762	1	0	1	0
789	131	264	263	0
816	1	0	1	0
843	140	282	281	0
870	1	0	1	0
897	149	300	299	0
924	1	0	1	0
951	158	318	317	0
978	1	0	1	0
1005	167	336	335	0
1032	1	0	1	0
1059	176	354	353	0
1086	1	0	1	0
1113	185	372	371	0
1140	1	0	1	0
1167	194	390	389	0
