40	4	7	10
42	3	8	10
44	3	8	10
46	1	12	10
48	3	11	10
50	2	11	10
52	2	11	10
54	2	9	10
56	1	11	10
58	3	8	10
60	1	10	10
62	1	12	10
64	2	10	10
66	1	11	10
68	1	10	10
70	2	12	10
72	1	14	10
74	2	12	10
76	2	12	10
78	2	11	10
80	1	12	10
82	1	11	10
84	2	9	10
86	1	12	10
88	2	9	10
90	1	14	10
92	2	12	10
94	1	11	10
96	2	14	10
98	1	11	10
100	1	10	10
102	1	12	10
104	1	12	10
106	2	13	10
108	1	10	10
110	1	11	10
112	1	13	10
114	1	11	10
116	1	11	10
118	1	11	10
120	1	10	10
122	1	12	10
124	1	9	10
126	1	12	10
128	1	11	10
130	1	14	10
132	1	13	10
134	1	11	10
136	1	13	10
138	1	12	10
140	1	12	10
142	1	10	10
144	1	10	10
146	1	11	10
148	1	11	10
150	1	11	10
