6	1	0	1	0
33	2	18	11	0
60	1	0	1	0
87	5	48	29	0
114	1	0	1	0
141	9	76	47	0
168	1	0	1	0
195	13	104	65	0
222	1	0	1	0
249	16	134	83	0
276	1	0	1	0
303	20	162	101	0
330	1	0	1	0
357	23	192	119	0
384	1	0	1	0
411	27	220	137	0
438	1	0	1	0
465	31	248	155	0
492	1	0	1	0
519	34	278	173	0
546	1	0	1	0
573	38	306	191	0
600	1	0	1	0
627	41	336	209	0
654	1	0	1	0
681	45	364	227	0
708	1	0	1	0
735	49	392	245	0
762	1	0	1	0
789	52	422	263	0
816	1	0	1	0
843	56	450	281	0
870	1	0	1	0
897	59	480	299	0
924	1	0	1	0
951	63	508	317	0
978	1	0	1	0
1005	67	536	335	0
1032	1	0	1	0
1059	70	566	353	0
1086	1	0	1	0
1113	74	594	371	0
1140	1	0	1	0
1167	77	624	389	0
